Reference,Arabic,English,Turkish
text_page3,"The Winter cold had passed.

Spring was coming to Nkanyezi's village. Soon the villagers would grather to celebrate the new season. Nkanyezi looked forward to the Spring festival more than any other day in the year.","The Winter cold had passed.

Spring was coming to Nkanyezi's village. Soon the villagers would grather to celebrate the new season. Nkanyezi looked forward to the Spring festival more than any other day in the year.","The Winter cold had passed.

Spring was coming to Nkanyezi's village. Soon the villagers would grather to celebrate the new season. Nkanyezi looked forward to the Spring festival more than any other day in the year."
text_page4,"One wam morning, Nkanyezi overheard two village elders talking about the festival.

""The people of Ndlovu have lost their spirit of celebration,"" one sighed.

""How can we have a Spring festival in a vbillage that has forgotten to celebrate?"" asked another.","One wam morning, Nkanyezi overheard two village elders talking about the festival.

""The people of Ndlovu have lost their spirit of celebration,"" one sighed.

""How can we have a Spring festival in a vbillage that has forgotten to celebrate?"" asked another.","One wam morning, Nkanyezi overheard two village elders talking about the festival.

""The people of Ndlovu have lost their spirit of celebration,"" one sighed.

""How can we have a Spring festival in a vbillage that has forgotten to celebrate?"" asked another."
text_page5,"Nkayezi was worried.

""How will the sun shine again unless we sing to wake it from its winter slumber?"" she asked herself.

Nkayezi thought for a long time.

""I must find what we have lost,"" she decided.

""I must go in search of things that will bring back the spirit of celebration to my village.""","Nkayezi was worried.

""How will the sun shine again unless we sing to wake it from its winter slumber?"" she asked herself.

Nkayezi thought for a long time.

""I must find what we have lost,"" she decided.

""I must go in search of things that will bring back the spirit of celebration to my village.""","Nkayezi was worried.

""How will the sun shine again unless we sing to wake it from its winter slumber?"" she asked herself.

Nkayezi thought for a long time.

""I must find what we have lost,"" she decided.

""I must go in search of things that will bring back the spirit of celebration to my village."""
text_page6,"The elders gave Nkayezi their blessing for the journey. They geve her a bag to carry the things she would find.

Nkayezi was afraid, but she believed she would succeed.","The elders gave Nkayezi their blessing for the journey. They geve her a bag to carry the things she would find.

Nkayezi was afraid, but she believed she would succeed.","The elders gave Nkayezi their blessing for the journey. They geve her a bag to carry the things she would find.

Nkayezi was afraid, but she believed she would succeed."
text_page7,"Nkayezi walked all day. She hiked up a hill, and down into a valley. She sailed across the great river, and climbed between sharp rocks. She marched across the plains until she reached the shadow of the red mountains.","Nkayezi walked all day. She hiked up a hill, and down into a valley. She sailed across the great river, and climbed between sharp rocks. She marched across the plains until she reached the shadow of the red mountains.","Nkayezi walked all day. She hiked up a hill, and down into a valley. She sailed across the great river, and climbed between sharp rocks. She marched across the plains until she reached the shadow of the red mountains."
text_page8,"A night was closing in, Nkayezi arrived at a village of patterns and colours as she had never seen before. She told the village elders about her journey to bring back the spirit of celebration to her people.

The mother of the tribe gave Nkayezi a gift.

She told the girl, ""With love we give to you this paint to restore colour to a village that has gove dull.""

Nkayezi thanked the elders and put the paint in her bag.

Early the next morning she went on her way again, excited with this gift of colour.","A night was closing in, Nkayezi arrived at a village of patterns and colours as she had never seen before. She told the village elders about her journey to bring back the spirit of celebration to her people.

The mother of the tribe gave Nkayezi a gift.

She told the girl, ""With love we give to you this paint to restore colour to a village that has gove dull.""

Nkayezi thanked the elders and put the paint in her bag.

Early the next morning she went on her way again, excited with this gift of colour.","A night was closing in, Nkayezi arrived at a village of patterns and colours as she had never seen before. She told the village elders about her journey to bring back the spirit of celebration to her people.

The mother of the tribe gave Nkayezi a gift.

She told the girl, ""With love we give to you this paint to restore colour to a village that has gove dull.""

Nkayezi thanked the elders and put the paint in her bag.

Early the next morning she went on her way again, excited with this gift of colour."
text_page9,"Nkayezi walked all day, through a vast forest of giant trees. As the sky became too dark for her to see, she heard the sound of beating drums. She hurried towards the drumming, feeling the spirit of dance coming to her tired feet.","Nkayezi walked all day, through a vast forest of giant trees. As the sky became too dark for her to see, she heard the sound of beating drums. She hurried towards the drumming, feeling the spirit of dance coming to her tired feet.","Nkayezi walked all day, through a vast forest of giant trees. As the sky became too dark for her to see, she heard the sound of beating drums. She hurried towards the drumming, feeling the spirit of dance coming to her tired feet."
text_page10,"Nkayezi found herself in the village of the Bhubezi. People were sitting around a fire, drumming and singing. She had never before heard such wonderful miusic.

She told the village elders about her journey to bring back the spirit of celebration to her people. The Bhubezi invited her to rest and stay the night.","Nkayezi found herself in the village of the Bhubezi. People were sitting around a fire, drumming and singing. She had never before heard such wonderful miusic.

She told the village elders about her journey to bring back the spirit of celebration to her people. The Bhubezi invited her to rest and stay the night.","Nkayezi found herself in the village of the Bhubezi. People were sitting around a fire, drumming and singing. She had never before heard such wonderful miusic.

She told the village elders about her journey to bring back the spirit of celebration to her people. The Bhubezi invited her to rest and stay the night."
text_page11,"In the morning the chief called Nkayezi.

""My child,"" he said, ""here is a special drum. It plays a new song every time you beat it.""

Nkayezi thanked the elders and put the drum in her bag. She went on her way again, delighted with this gift of music and dance.","In the morning the chief called Nkayezi.

""My child,"" he said, ""here is a special drum. It plays a new song every time you beat it.""

Nkayezi thanked the elders and put the drum in her bag. She went on her way again, delighted with this gift of music and dance.","In the morning the chief called Nkayezi.

""My child,"" he said, ""here is a special drum. It plays a new song every time you beat it.""

Nkayezi thanked the elders and put the drum in her bag. She went on her way again, delighted with this gift of music and dance."
text_page12,"On the third day of her journey, as she passed a field of fat cows, her nose started to tingle. An aroma tickled her taste buds and her mouth started to water. She followed the scent, and arrived in a village to find people standing over streaming pots of stew.

This tribe was famous for its feasts and Nkayezi had never before tasted such flavours. After she had eaten her fill, she told the village elders about her journey to bring back the spirit of celebration to her people.","On the third day of her journey, as she passed a field of fat cows, her nose started to tingle. An aroma tickled her taste buds and her mouth started to water. She followed the scent, and arrived in a village to find people standing over streaming pots of stew.

This tribe was famous for its feasts and Nkayezi had never before tasted such flavours. After she had eaten her fill, she told the village elders about her journey to bring back the spirit of celebration to her people.","On the third day of her journey, as she passed a field of fat cows, her nose started to tingle. An aroma tickled her taste buds and her mouth started to water. She followed the scent, and arrived in a village to find people standing over streaming pots of stew.

This tribe was famous for its feasts and Nkayezi had never before tasted such flavours. After she had eaten her fill, she told the village elders about her journey to bring back the spirit of celebration to her people."
text_page13,"The next day, the council of cooks gave her a secret spice blend.

""Our daughter,"" they said, ""with these spices, happy tummies as guaranteed! We give you the gift of good food.""

Nkayezi thanked the elders and put the spices in her bag.

She knew she had everything she needed. With new energy she started the long journey back to the village of Ndlovu.","The next day, the council of cooks gave her a secret spice blend.

""Our daughter,"" they said, ""with these spices, happy tummies as guaranteed! We give you the gift of good food.""

Nkayezi thanked the elders and put the spices in her bag.

She knew she had everything she needed. With new energy she started the long journey back to the village of Ndlovu.","The next day, the council of cooks gave her a secret spice blend.

""Our daughter,"" they said, ""with these spices, happy tummies as guaranteed! We give you the gift of good food.""

Nkayezi thanked the elders and put the spices in her bag.

She knew she had everything she needed. With new energy she started the long journey back to the village of Ndlovu."
text_page14,"When she arrived hove the villagers gathered around her to hear of her adventures. She told them the tales of what she had seen, heard, and eaten. The she opened her bag to share the gifts given. The people rejoiced to receive these treasure.

Through the generosity of others and the courage of Nkayezi, the villagers again found the colour, song and dance in their lives. And so the spirit of celebration to the village of Ndlovu.","When she arrived hove the villagers gathered around her to hear of her adventures. She told them the tales of what she had seen, heard, and eaten. The she opened her bag to share the gifts given. The people rejoiced to receive these treasure.

Through the generosity of others and the courage of Nkayezi, the villagers again found the colour, song and dance in their lives. And so the spirit of celebration to the village of Ndlovu.","When she arrived hove the villagers gathered around her to hear of her adventures. She told them the tales of what she had seen, heard, and eaten. The she opened her bag to share the gifts given. The people rejoiced to receive these treasure.

Through the generosity of others and the courage of Nkayezi, the villagers again found the colour, song and dance in their lives. And so the spirit of celebration to the village of Ndlovu."
title,Searching for the Spirit of Spring,Searching for the Spirit of Spring,Searching for the Spirit of Spring
description,A young girl goes in search of the spirit of spring to help save her village. Another great creative commons book from BookDash.,A young girl goes in search of the spirit of spring to help save her village. Another great creative commons book from BookDash,A young girl goes in search of the spirit of spring to help save her village. Another great creative commons book from BookDash
